Name,Type,Address,Website,latitude,longitude
Southeastern Community College,Community College,"4564 Chadbourn Hwy, Whiteville, NC 28472",https://sccnc.edu,34.32992537,-78.78166233
Southwestern Community College,Community College,"225 Industrial Park Loop, Franklin, NC 28734",https://www.southwesterncc.edu,35.16344913,-83.4333505
Southwestern Community College - Macon Campus,Community College,"44 Siler Farm Rd, Franklin, NC 28734",https://www.southwesterncc.edu,35.16015002,-83.38079113
Stanly Community College,Community College,"141 College Dr, Albemarle, NC 28001",https://www.stanly.edu,35.33738181,-80.23391957
Surry Community College,Community College,"630 S Main St, Dobson, NC 27017",https://surry.edu,36.38487592,-80.71531836
Wake Technical Community College,Community College,"9101 Fayetteville Rd, Raleigh, NC 27603",https://www.waketech.edu,35.65200702,-78.70659058
Wayne Community College,Community College,"3000 Wayne Memorial Dr, Goldsboro, NC 27534",https://www.waynecc.edu,35.3993385,-77.95796885
Western Piedmont Community College,Community College,"1001 Burkemont Ave, Morganton, NC 28655",https://www.wpcc.edu,35.72263183,-81.69345003
Wilkes Community College,Community College,"1328 S Collegiate Dr, Wilkesboro, NC 28697",https://www.wilkescc.edu,36.14081233,-81.17762052
Wilson Technical Community College,Community College,"902 Herring Ave E, Wilson, NC 27893",https://www.wilsoncc.edu,35.72936349,-77.89867725
Belmont Abbey College,Private University,"100 Belmont Mt Holly Rd, Belmont, NC 28012",https://belmontabbeycollege.edu,35.26358925,-81.04253072
Bennett College ,Private University,"900 E Washington St, Greensboro, NC 27401",https://www.bennett.edu,36.06926773,-79.7803908
Catawba College ,Private University,"2300 W Innes St, Salisbury, NC 28144",https://catawba.edu,35.69069353,-80.48199299
Chowan University,Private University,"1 University Dr, Murfreesboro, NC 27855",https://www.chowan.edu,36.43965389,-77.09962192
Davidson College,Private University,"405 N Main St, Davidson, NC 28035",https://www.davidson.edu,35.50203992,-80.84736209
Duke University,Private University,"415 Chapel Dr Durham, NC 27708",https://duke.edu,36.00049266,-78.93784152
Gardner-Webb University,Private University,"110 S Main St, Boiling Springs, NC 28017",https://gardner-webb.edu,35.25035027,-81.6667374
Greensboro College,Private University,"815 W Market St, Greensboro, NC 27401",https://www.greensboro.edu,36.0729156,-79.7999914
Guildford College,Private University,"5800 W Friendly Ave, Greensboro, NC 27410",https://www.guilford.edu,36.08960428,-79.88681667
Johnson & Wales University,Private University,"801 W Trade St, Charlotte, NC 28202",https://www.jwu.edu,35.23300147,-80.8500839
Johnson C. Smith University,Private University,"100 Beatties Ford Rd, Charlotte, NC 28216",https://www.jcsu.edu,35.24460374,-80.85760065
Lees-mcRae College,Private University,"191 Main St W, Banner Elk, NC 28604",https://www.lmc.edu,36.16253823,-81.87486107
Lenoir-Rhyne College,Private University,"625 7th Ave Pl NE, Hickory, NC 28601",https://www.lr.edu,35.73868866,-81.32759411
Livingstone College,Private University,"701 W Monroe St, Salisbury, NC 28144",https://livingstone.edu,35.67010775,-80.48170558
Louisburg College (two-year),Private University,"501 N Main St, Louisburg, NC 27549",https://www.louisburg.edu,36.10354413,-78.29782281
Mars Hill University,Private University,"100 Athletic St, Mars Hill, NC 28754",https://www.mhu.edu,35.82727817,-82.55290033
Meredith College,Private University,"3800 Hillsborough St, Raleigh, NC 27607",https://www.meredith.edu,35.79442026,-78.68885105
Methodist University,Private University,"5400 Ramsey St, Fayetteville, NC 28311",https://www.methodist.edu,35.13754011,-78.87518352
North Carolina Wesleyan College ,Private University,"3400 N Wesleyan Blvd, Rocky Mount, NC 27804",https://ncwu.edu,36.01798083,-77.77070168
Pfeiffer University,Private University,"48380 US-52, Misenheimer, NC 28109",https://www.pfeiffer.edu,35.48405658,-80.28401875
Queens University of Charlotte,Private University,"1900 Selwyn Ave, Charlotte, NC 28274",https://www.queens.edu,35.18922079,-80.83045039
Saint Augustine's University,Private University,"1315 Oakwood Ave, Raleigh, NC 27610",https://www.st-aug.edu,35.78447016,-78.62183994
St. Andrews University,Private University,"1700 Dogwood Mile St, Laurinburg, NC 28352",https://www.sa.edu,34.7500931,-79.48062713
Salem College,Private University,"601 S Church St, Winston-Salem, NC 27101",https://www.salem.edu,36.08761434,-80.24126072
Shaw University,Private University,"118 E South St, Raleigh, NC 27601",https://www.shawu.edu,35.77207258,-78.63830653
University of Mount Olive,Private University,"634 Henderson St, Mt Olive, NC 28365",https://umo.edu,35.20820543,-78.07124393
Wake Forest University,Private University,"1834 Wake Forest Rd, Winston-Salem, NC 27109",https://www.wfu.edu,36.13553903,-80.27762615
Warren Wilson College,Private University,"701 Warren Wilson Rd, Swannanoa, NC 28778",https://www.warren-wilson.edu,35.61429344,-82.43942437
William Peace University ,Private University,"15 E Peace St, Raleigh, NC 27604",https://www.peace.edu,35.78810024,-78.63845425
Wingate University ,Private University,"211 E Wilson St, Wingate, NC 28174",https://www.wingate.edu,34.98698439,-80.44013749
East Carolina University,Public University ,"E 5th St, Greenville, NC 27858",https://www.ecu.edu,35.60298133,-77.3398155
Elizabeth City State University,Public University ,"1704 Weeksville Rd, Elizabeth City, NC 27909",https://www.ecsu.edu,36.2793581,-76.21381796
North Carolina State University,Public University ,"2721 Sullivan Dr, Raleigh, NC 27607",https://www.ncsu.edu,35.78895791,-78.68606578
University of North Carolina Ashville,Public University ,"1 University Heights, Asheville, NC 28804",https://new.unca.edu,35.61850366,-82.56643902
Gaston College,Community College,"201 US-321, Dallas, NC 28034",https://www.gaston.edu,35.31822769,-81.18699679
Isothermal Community College,Community College,"286 I C C Loop Rd, Spindale, NC 28160",https://www.isothermal.edu,35.3601212,-81.929271
James Sprunt Community College,Community College,"133 James Sprunt Dr, Kenansville, NC 28349",https://jamessprunt.edu,34.94878776,-77.97741056
Johnston Community College,Community College,"245 College Rd, Smithfield, NC 27577",https://www.johnstoncc.edu,35.50220804,-78.33463675
Lenoir Community College,Community College,"231 NC-58, Kinston, NC 28504",https://www.lenoircc.edu,35.25836589,-77.58137078
Mayland Community College,Community College,"200 Mayland Dr, Spruce Pine, NC 28777",https://www.mayland.edu,35.9362392,-82.01961195
Mitchell Community College,Community College,"500 W Broad St, Statesville, NC 28677",https://www.mitchellcc.edu,35.78280815,-80.89427381
Pamlico Community College,Community College,"5049 NC-306, Grantsboro, NC 28529",https://pamlicocc.edu,35.0690653,-76.83370095
Piedmont Community College Person County Campurs,Community College,"1715 College Dr, Roxboro, NC 27573",https://piedmontcc.edu,36.4314927,-78.98039419
Rockingham Community College,Community College,"215 Wrenn Memorial Rd, Wentworth, NC 27375",https://rockinghamcc.edu,36.3879147,-79.7569785
South Piedmont Community College - L.L. Polk Campus,Community College,"680 US-74, Polkton, NC 28135",https://spcc.edu,35.00269764,-80.1953484
Brevard College,Private University,"1 Brevard College Dr, Brevard, NC 28712",https://brevard.edu,35.23711599,-82.730757
Carbarrus College of Health Science ,Private University,"401 Medical Park Dr NE, Concord, NC 28025",https://cabarruscollege.edu,35.43881356,-80.60128945
Campbell University,Private University,"143 Main St, Buies Creek, NC 27506",https://cphs.campbell.edu,35.408071,-78.7392468
Elon University ,Private University,"100 Campus Dr, Elon, NC 27244",https://www.elon.edu,36.11174244,-79.48059269
High Point University,Private University,"1 N University Pkwy, High Point, NC 27262",https://www.highpoint.edu,35.96645161,-79.98973601
Montreat College,Private University,"310 Gaither Cir, Montreat, NC 28757",https://www.montreat.edu,35.64651313,-82.29718712
Davidson County Community College,Community College,"297 State Rd 1929, Thomasville, NC 27360",https://www.davidsondavie.edu,35.865465,-80.18201
Piedmont Community College - Caswell County Campus,Community College,"331 Piedmont Dr, Yanceyville, NC 27379",https://piedmontcc.edu,36.400789,-79.325157
Tri-County Community College,Community College,"21 Campus Circle Crisp Building, Murphy, NC 28906",https://www.warren-wilson.edu,35.067208,-83.965687
Vance-Granville Community College,Community College,"200 Community College Rd, Henderson, NC 27536",https://www.warren-wilson.edu,36.323442,-78.487271
Barton College,Private University,"400 Atlantic Christian College Dr NE, Wilson, NC 27893",https://www.barton.edu,35.736336,-77.913188
